"","ID","trait_measure_type","trait_measure_value","condition","prosocial_decisions"
"1",1,"empathy",-1.19949192256842,"baseline",21
"2",2,"empathy",0.583536610979231,"baseline",28
"3",3,"empathy",-0.129674802439829,"baseline",19
"4",4,"empathy",-0.84288621585889,"baseline",24
"5",5,"empathy",1.29674802439829,"baseline",36
"6",6,"empathy",-0.486280509149359,"baseline",33
"7",7,"empathy",-1.19949192256842,"baseline",22
"8",8,"empathy",-0.84288621585889,"baseline",21
"9",9,"empathy",0.226930904269701,"baseline",23
"10",10,"empathy",-0.486280509149359,"baseline",30
"11",11,"empathy",1.65335373110782,"baseline",32
"12",12,"empathy",-0.129674802439829,"baseline",16
"13",13,"empathy",-0.84288621585889,"baseline",19
"14",14,"empathy",0.940142317688761,"baseline",38
"15",15,"empathy",1.65335373110782,"baseline",36
"16",16,"empathy",0.940142317688761,"baseline",33
"17",17,"empathy",-0.129674802439829,"baseline",28
"18",18,"empathy",0.583536610979231,"baseline",14
"19",19,"empathy",0.583536610979231,"baseline",32
"20",20,"empathy",-0.486280509149359,"baseline",21
"21",21,"empathy",-1.55609762927795,"baseline",19
"22",22,"empathy",0.226930904269701,"baseline",31
"23",23,"empathy",0.583536610979231,"baseline",15
"24",24,"empathy",0.226930904269701,"baseline",36
"25",25,"empathy",-0.486280509149359,"baseline",19
"26",26,"empathy",-2.26930904269701,"baseline",20
"27",27,"empathy",0.940142317688761,"baseline",25
"28",28,"empathy",-0.129674802439829,"baseline",6
"29",29,"empathy",0.226930904269701,"baseline",33
"30",30,"empathy",-0.486280509149359,"baseline",37
"31",31,"empathy",2.00995943781735,"baseline",33
"32",32,"empathy",-1.55609762927795,"baseline",23
"33",33,"empathy",0.583536610979231,"baseline",26
"34",1,"empathy",-1.19949192256842,"empathy",37
"35",2,"empathy",0.583536610979231,"empathy",28
"36",3,"empathy",-0.129674802439829,"empathy",18
"37",4,"empathy",-0.84288621585889,"empathy",21
"38",5,"empathy",1.29674802439829,"empathy",37
"39",6,"empathy",-0.486280509149359,"empathy",32
"40",7,"empathy",-1.19949192256842,"empathy",26
"41",8,"empathy",-0.84288621585889,"empathy",23
"42",9,"empathy",0.226930904269701,"empathy",19
"43",10,"empathy",-0.486280509149359,"empathy",31
"44",11,"empathy",1.65335373110782,"empathy",27
"45",12,"empathy",-0.129674802439829,"empathy",20
"46",13,"empathy",-0.84288621585889,"empathy",20
"47",14,"empathy",0.940142317688761,"empathy",38
"48",15,"empathy",1.65335373110782,"empathy",38
"49",16,"empathy",0.940142317688761,"empathy",32
"50",17,"empathy",-0.129674802439829,"empathy",27
"51",18,"empathy",0.583536610979231,"empathy",24
"52",19,"empathy",0.583536610979231,"empathy",30
"53",20,"empathy",-0.486280509149359,"empathy",24
"54",21,"empathy",-1.55609762927795,"empathy",18
"55",22,"empathy",0.226930904269701,"empathy",33
"56",23,"empathy",0.583536610979231,"empathy",34
"57",24,"empathy",0.226930904269701,"empathy",35
"58",25,"empathy",-0.486280509149359,"empathy",34
"59",26,"empathy",-2.26930904269701,"empathy",34
"60",27,"empathy",0.940142317688761,"empathy",32
"61",28,"empathy",-0.129674802439829,"empathy",36
"62",29,"empathy",0.226930904269701,"empathy",34
"63",30,"empathy",-0.486280509149359,"empathy",34
"64",31,"empathy",2.00995943781735,"empathy",36
"65",32,"empathy",-1.55609762927795,"empathy",31
"66",33,"empathy",0.583536610979231,"empathy",23
"67",1,"empathy",-1.19949192256842,"reciprocity",38
"68",2,"empathy",0.583536610979231,"reciprocity",25
"69",3,"empathy",-0.129674802439829,"reciprocity",13
"70",4,"empathy",-0.84288621585889,"reciprocity",26
